,mmsi,position,lon,lat,tstamp,speed
0,444444444,"[52.14, 15.225]",52.14,15.225,2023-06-01 00:54:00,18.0
1,444444444,"[52.45667, 15.35167]",52.45667,15.35167,2023-06-01 02:00:00,18.0
2,444444444,"[52.74833, 15.47333]",52.74833,15.47333,2023-06-01 03:00:00,18.0
3,444444444,"[53.045, 15.60167]",53.045,15.60167,2023-06-01 04:00:00,18.0
4,444444444,"[53.32667, 15.74333]",53.32667,15.74333,2023-06-01 05:03:00,16.0
5,444444444,"[53.57833, 15.865]",53.57833,15.865,2023-06-01 06:03:00,16.0
6,444444444,"[53.83333, 15.97833]",53.83333,15.97833,2023-06-01 07:03:00,15.0
7,444444444,"[54.14333, 16.13667]",54.14333,16.13667,2023-06-01 08:18:00,15.0
8,444444444,"[54.38119, 16.2657]",54.38119,16.2657,2023-06-01 09:20:00,14.6
9,444444444,"[54.59637, 16.37748]",54.59637,16.37748,2023-06-01 10:19:00,14.0
10,444444444,"[54.81205, 16.48048]",54.81205,16.48048,2023-06-01 11:18:00,13.8
11,444444444,"[55.02015, 16.58595]",55.02015,16.58595,2023-06-01 12:18:00,13.5
12,444444444,"[55.23168, 16.69147]",55.23168,16.69147,2023-06-01 13:17:00,15.0
13,444444444,"[55.47714, 16.81482]",55.47714,16.81482,2023-06-01 14:16:00,16.9
14,444444444,"[55.74509, 16.94021]",55.74509,16.94021,2023-06-01 15:16:00,17.1
15,444444444,"[56.01243, 17.07273]",56.01243,17.07273,2023-06-01 16:17:00,17.1
16,444444444,"[56.28333, 17.20333]",56.28333,17.20333,2023-06-01 17:18:00,17.0
17,444444444,"[56.545, 17.34333]",56.545,17.34333,2023-06-01 18:18:00,16.0
18,444444444,"[56.73833, 17.54833]",56.73833,17.54833,2023-06-01 19:18:00,16.0
19,444444444,"[56.94194, 17.73948]",56.94194,17.73948,2023-06-01 20:17:00,17.1
20,444444444,"[57.13167, 17.94167]",57.13167,17.94167,2023-06-01 21:18:00,15.0
21,444444444,"[57.32, 18.13667]",57.32,18.13667,2023-06-01 22:21:00,14.0
22,444444444,"[57.50025, 18.32766]",57.50025,18.32766,2023-06-01 23:24:00,14.3
23,444444444,"[57.69167, 18.52]",57.69167,18.52,2023-06-02 00:30:00,14.0
24,444444444,"[57.87408, 18.70435]",57.87408,18.70435,2023-06-02 01:29:00,15.9
25,444444444,"[58.06214, 18.90709]",58.06214,18.90709,2023-06-02 02:29:00,16.5
26,444444444,"[58.24984, 19.12959]",58.24984,19.12959,2023-06-02 03:30:00,16.9
27,444444444,"[58.4381, 19.34633]",58.4381,19.34633,2023-06-02 04:30:00,16.0
28,444444444,"[58.62333, 19.56333]",58.62333,19.56333,2023-06-02 05:33:00,15.0
29,444444444,"[58.8022, 19.7708]",58.8022,19.7708,2023-06-02 06:32:00,15.9
30,444444444,"[58.97602, 19.97581]",58.97602,19.97581,2023-06-02 07:32:00,16.0
31,444444444,"[59.10493, 20.21947]",59.10493,20.21947,2023-06-02 08:32:00,16.4
32,444444444,"[59.23321, 20.49147]",59.23321,20.49147,2023-06-02 09:37:00,16.5
33,444444444,"[59.35, 20.74167]",59.35,20.74167,2023-06-02 10:36:00,16.0
34,444444444,"[59.47167, 21.0]",59.47167,21.0,2023-06-02 11:36:00,16.0
35,444444444,"[59.59833, 21.26]",59.59833,21.26,2023-06-02 12:39:00,15.0
36,444444444,"[59.71401, 21.49269]",59.71401,21.49269,2023-06-02 13:38:00,15.3
37,444444444,"[59.82409, 21.72974]",59.82409,21.72974,2023-06-02 14:38:00,16.6
38,444444444,"[59.95923, 21.96688]",59.95923,21.96688,2023-06-02 15:38:00,15.6
39,444444444,"[60.07833, 22.22]",60.07833,22.22,2023-06-02 16:42:00,15.0
40,444444444,"[60.11833, 22.48833]",60.11833,22.48833,2023-06-02 17:45:00,15.0
41,444444444,"[59.985, 22.70333]",59.985,22.70333,2023-06-02 18:45:00,16.0
42,444444444,"[59.8, 22.92833]",59.8,22.92833,2023-06-02 19:45:00,17.0
43,444444444,"[59.58802, 23.15002]",59.58802,23.15002,2023-06-02 20:47:00,17.2
44,444444444,"[59.375, 23.39]",59.375,23.39,2023-06-02 21:51:00,17.0
45,444444444,"[59.16408, 23.61944]",59.16408,23.61944,2023-06-02 22:52:00,17.8
46,444444444,"[58.94833, 23.86833]",58.94833,23.86833,2023-06-02 23:57:00,17.0
47,444444444,"[58.705, 24.04833]",58.705,24.04833,2023-06-03 00:57:00,17.0
48,444444444,"[58.36833, 24.18]",58.36833,24.18,2023-06-03 02:06:00,17.0
49,444444444,"[58.06167, 24.285]",58.06167,24.285,2023-06-03 03:06:00,18.0
50,444444444,"[57.77374, 24.38461]",57.77374,24.38461,2023-06-03 04:05:00,16.7
51,444444444,"[57.48889, 24.4906]",57.48889,24.4906,2023-06-03 05:05:00,17.1
52,444444444,"[57.13297, 24.62359]",57.13297,24.62359,2023-06-03 06:23:00,15.6
53,444444444,"[56.96851, 24.79256]",56.96851,24.79256,2023-06-03 07:23:00,15.5
54,444444444,"[56.91013, 25.03599]",56.91013,25.03599,2023-06-03 08:22:00,15.0
55,444444444,"[56.84376, 25.27827]",56.84376,25.27827,2023-06-03 09:22:00,14.6
56,444444444,"[56.79397, 25.51098]",56.79397,25.51098,2023-06-03 10:22:00,14.0
57,444444444,"[56.7436, 25.74883]",56.7436,25.74883,2023-06-03 11:22:00,15.0
58,444444444,"[56.72272, 25.9986]",56.72272,25.9986,2023-06-03 12:21:00,15.6
59,444444444,"[56.7, 26.25712]",56.7,26.25712,2023-06-03 13:20:00,15.3
60,444444444,"[56.66633, 26.50271]",56.66633,26.50271,2023-06-03 14:20:00,14.8
61,444444444,"[56.45594, 26.63041]",56.45594,26.63041,2023-06-03 15:19:00,14.8
62,444444444,"[56.23123, 26.53022]",56.23123,26.53022,2023-06-03 16:18:00,14.8
63,444444444,"[56.04482, 26.34308]",56.04482,26.34308,2023-06-03 17:18:00,15.3
64,444444444,"[55.8436, 26.15601]",55.8436,26.15601,2023-06-03 18:17:00,16.0
65,444444444,"[55.61834, 25.99043]",55.61834,25.99043,2023-06-03 19:16:00,15.6
66,444444444,"[55.40704, 25.82604]",55.40704,25.82604,2023-06-03 20:15:00,15.1
67,444444444,"[55.16015, 25.71737]",55.16015,25.71737,2023-06-03 21:15:00,15.2
